Designator,Mid X,Mid Y,Rotation,Layer
C1,11.86,-63.74,180.0,top
C10,4.21,-68.38,0.0,top
C11,16.85,-72.0175,270.0,top
C13,15.47,-76.43,90.0,top
C14,11.84,-39.03,0.0,top
C15,83.62,-60.25,270.0,top
C16,45.0,-75.6675,90.0,top
C17,32.72,-76.31,90.0,top
C18,79.645,-56.575,180.0,top
C19,27.8425,-72.35,0.0,top
C2,9.41,-67.24,270.0,top
C20,26.49,-37.15,180.0,top
C21,26.59,-35.08,180.0,top
C22,49.55,-58.9475,270.0,top
C23,11.82,-32.99,0.0,top
C24,61.15,-55.18,0.0,top
C25,83.585,-64.145,90.0,top
C26,50.1,-77.19,180.0,top
C27,69.57,-35.11,0.0,top
C28,30.79,-71.63,270.0,top
C29,26.51,-76.49,270.0,top
C3,20.86,-64.48,270.0,top
C30,32.0,-54.74,0.0,top
C31,36.81,-73.5075,90.0,top
C32,25.69,-62.53,180.0,top
C33,25.42,-66.25,180.0,top
C34,50.23,-75.23,180.0,top
C35,32.38,-58.74,180.0,top
C36,45.84,-59.97,0.0,top
C37,24.62,-76.29,90.0,top
C38,29.99,-64.28,180.0,top
C39,24.45,-39.36,180.0,top
C4,14.07,-68.9,0.0,top
C40,40.29,-58.49,0.0,top
C41,47.752,-34.798,90.0,top
C42,38.85,-76.19,270.0,top
C43,57.26,-55.22,180.0,top
C44,45.75,-53.99,0.0,top
C45,52.61,-58.8975,270.0,top
C46,42.99,-75.6475,90.0,top
C47,31.99,-56.75,180.0,top
C48,45.3295,-58.0035,0.0,top
C49,29.99,-66.26,180.0,top
C5,16.98,-60.53,180.0,top
C50,30.26,-61.74,0.0,top
C51,51.48,-69.76,180.0,top
C52,46.925,-69.895,180.0,top
C53,44.77,-72.49,180.0,top
C54,67.29,-13.67,180.0,top
C55,51.79,-66.8025,90.0,top
C56,28.03,-30.61,0.0,top
C57,18.42,-14.76,180.0,top
C58,19.19,-31.0,0.0,top
C59,32.18,-18.14,90.0,top
C60,7.07,-21.52,270.0,top
C61,11.8,-36.99,0.0,top
C62,10.21,-22.68,180.0,top
C63,7.12,-17.44,90.0,top
C64,71.1,-26.41,180.0,top
C65,74.07,-23.74,90.0,top
C66,73.68,-30.13,270.0,top
C67,41.4,-40.2,180.0,top
C68,69.57,-31.04,0.0,top
C69,82.677,-16.51,180.0,top
C70,76.145,-66.025,0.0,top
C71,58.14,-21.07,0.0,top
C72,84.692,-8.229,270.0,top
C73,37.32,-39.22,90.0,top
C74,34.67,-32.52,270.0,top
C75,86.851,-11.404,270.0,top
C76,2.91,-57.63,270.0,top
C77,11.85,-24.81,0.0,top
C78,11.85,-26.84,0.0,top
C79,11.87,-28.88,0.0,top
C80,11.83,-30.97,0.0,top
C81,82.12,-13.86,0.0,top
C82,79.121,-46.482,0.0,top
C83,82.9095,-46.482,180.0,top
C9,4.22,-70.49,180.0,top
D10,21.04,-8.67,0.0,top
D11,3.66,-44.16,0.0,top
D12,81.4275,-5.84,180.0,top
D13,90.55,-32.52,90.0,top
D14,3.97,-48.04,180.0,top
D15,30.285,-5.06,0.0,top
D16,2.77,-35.2,270.0,top
D18,87.503,-49.022,0.0,top
D19,77.978,-18.923,90.0,top
D2,16.98,-63.5075,90.0,top
D20,92.69,-51.47,180.0,top
D21,87.15,-46.47,180.0,top
D22,72.51,-44.5375,90.0,top
D23,75.057,-38.862,180.0,top
D3,10.525,-76.045,270.0,top
D4,12.9,-76.08,90.0,top
D5,20.05,-76.45,0.0,top
D8,75.65,-19.28,90.0,top
D9,31.91,-36.7975,90.0,top
IC1,77.32,-61.125,270.0,top
IC2,79.121,-10.033,270.0,top
J1,63.69,-77.0,90.0,top
J2,94.615,-61.595,0.0,top
J3,80.645,-80.645,90.0,top
J4,94.615,-15.875,180.0,top
J5,80.645,-1.905,90.0,top
L1,14.08,-66.74,0.0,top
L10,35.82,-77.05,0.0,top
L11,39.67,-55.41,0.0,top
