Designator,Mid X,Mid Y,Rotation,Layer
C1,14.45,-60.79,180.0,top
C10,6.22,-68.58,270.0,top
C11,16.85,-72.0175,270.0,top
C12,8.36,-76.47,90.0,top
C13,15.45,-76.49,90.0,top
C14,11.85,-37.21,0.0,top
C15,83.475,-60.725,270.0,top
C16,45.0,-75.6675,90.0,top
C17,32.72,-76.31,90.0,top
C17a1,35.11,-74.76,0.0,bottom
C18,79.5,-57.05,180.0,top
C19,27.8425,-72.35,0.0,top
C2,8.91,-60.4175,270.0,top
C20,26.49,-37.15,180.0,top
C21,26.59,-35.08,180.0,top
C22,49.55,-58.9475,270.0,top
C23,11.83,-33.13,0.0,top
C24,63.92,-54.43,0.0,top
C25,83.44,-64.62,90.0,top
C26,50.1,-77.19,180.0,top
C27,69.41,-32.09,0.0,top
C28,30.79,-71.63,270.0,top
C29,26.51,-76.49,270.0,top
C29a1,26.57,-75.7,270.0,bottom
C3,22.29,-62.45,270.0,top
C30,32.0,-54.74,0.0,top
C31,36.81,-73.5075,90.0,top
C34,50.23,-75.23,180.0,top
C35,32.41,-59.02,180.0,top
C36,45.84,-59.97,0.0,top
C37,24.62,-76.29,90.0,top
C38,30.74,-64.11,180.0,top
C4,14.52,-64.26,0.0,top
C40,40.29,-58.49,0.0,top
C42,38.85,-76.19,270.0,top
C43,58.74,-54.92,180.0,top
C44,45.75,-53.99,0.0,top
C45,52.61,-58.8975,270.0,top
C46,42.99,-75.6475,90.0,top
C47,31.98,-56.89,180.0,top
C48,45.3295,-58.0035,0.0,top
C49,30.74,-66.07,180.0,top
C5,21.04,-54.58,180.0,top
C50,30.74,-62.15,0.0,top
C51,51.48,-69.76,180.0,top
C52,46.96,-69.62,180.0,top
C53,44.77,-72.49,180.0,top
C55,51.79,-66.8025,90.0,top
C56,28.03,-30.61,0.0,top
C57,18.42,-14.76,180.0,top
C58,19.19,-31.0,0.0,top
C59,32.18,-18.14,90.0,top
C6,8.91,-64.4475,270.0,top
C60,7.02,-20.89,270.0,top
C61,11.85,-35.18,0.0,top
C62,10.21,-22.68,180.0,top
C63,10.1425,-16.82,0.0,top
C64,73.52,-19.77,270.0,top
C65,75.175,-6.775,270.0,top
C66,73.55,-28.675,270.0,top
C67,41.4,-40.2,180.0,top
C68,69.4125,-27.98,0.0,top
C69,67.2325,-9.675,180.0,top
C7,22.3,-66.3,270.0,top
C71,61.84,-72.24,0.0,top
C73,37.32,-39.22,90.0,top
C74,34.67,-32.52,270.0,top
C75,50.88,-33.66,0.0,top
C76,4.03,-53.88,0.0,top
C77,11.85,-24.81,0.0,top
C78,11.85,-26.84,0.0,top
C79,11.87,-28.88,0.0,top
C8,14.27,-66.5475,180.0,top
C80,11.83,-30.97,0.0,top
C9,8.66,-70.29,270.0,top
D1,18.43,-63.4475,270.0,top
D10,21.04,-8.67,0.0,top
D11,3.66,-44.16,0.0,top
D12,86.74,-54.16,0.0,top
D13,90.87,-33.73,90.0,top
D14,3.97,-48.04,180.0,top
D15,30.285,-5.06,0.0,top
D16,2.77,-35.2,270.0,top
D2,20.91,-57.5675,270.0,top
D3,13.42,-70.93,90.0,top
D4,11.0,-71.01,270.0,top
D5,20.05,-76.45,0.0,top
D6,13.13,-76.0025,270.0,top
D7,10.67,-75.98,90.0,top
D8,38.46,-65.705,270.0,top
D9,31.91,-36.7975,90.0,top
IC1,77.175,-61.6,0.0,top
J1,3.28,-76.25,180.0,top
J10,3.34,-51.08,90.0,top
J16,3.14,-18.21,0.0,top
J17,3.36,-5.94,0.0,top
J18,10.31,-5.9,0.0,top
J2,43.18,-50.8,270.0,top
J20,95.5,-41.155,90.0,top
J4,27.53,-13.38,90.0,top
J5,36.24,-6.4,0.0,top
J7,3.27,-61.665,180.0,top
L1,19.23,-60.56,0.0,top
L10,35.82,-77.05,0.0,top
L11,39.67,-55.41,0.0,top
L12,18.0,-32.95,0.0,top
L13,81.74,-30.16,270.0,top
L2,23.74,-72.8475,180.0,top
L3,20.39,-70.89,0.0,top
L4,11.1,-61.45,270.0,top
L5,24.66,-63.7,90.0,top
L6,11.18,-65.0,270.0,top
L7,24.66,-67.13,90.0,top
L8,18.78,-67.74,0.0,top
L9,19.8,-72.7975,0.0,top
Q1,12.3525,-49.13,180.0,top
Q2,81.35,-8.51,0.0,top
Q3,81.14,-74.7,0.0,top
Q4,59.1,-18.2625,90.0,top
Q5,59.1,-22.2375,90.0,top
Q6,59.1,-26.2375,90.0,top
Q7,55.3625,-18.1,0.0,top
Q8,55.3375,-22.05,0.0,top
Q9,55.3625,-26.0,0.0,top
R1,6.1,-59.21,270.0,top
R10,35.49,-55.84,270.0,top
R11,26.8795,-47.6935,0.0,top
R12,21.7495,-47.6435,0.0,top
R13,32.3295,-47.7835,0.0,top
R14,37.7595,-47.8235,0.0,top
R15,13.73,-19.84,270.0,top
R16,43.79,-17.99,90.0,top
R17,31.67,-32.21,270.0,top
R18,22.07,-11.56,90.0,top
R19,7.57,-44.63,180.0,top
R2,6.1,-63.43,270.0,top
R20,86.72,-52.15,0.0,top
R21,31.81,-8.6,270.0,top
R22,25.86,-6.67,90.0,top
R23,69.375,-30.0,180.0,top
R24,68.64,-22.51,90.0,top
R25,4.03,-56.04,180.0,top
R26,10.34,-51.86,180.0,top
R27,8.46,-48.04,180.0,top
R28,15.41,-49.01,270.0,top
R29,87.72,-46.22,90.0,top
R3,48.89,-67.62,0.0,top
R30,77.5,-48.76,90.0,top
R31,4.06,-24.77,0.0,top
R32,7.95,-24.78,0.0,top
R33,4.1,-26.8,0.0,top
R34,7.97,-26.83,0.0,top
R35,4.1,-28.89,0.0,top
R36,7.99,-28.83,0.0,top
R37,29.2,-8.56,90.0,top
R38,70.85,-22.51,90.0,top
R39,65.74,-72.19,180.0,top
R4,48.89,-65.66,0.0,top
R40,65.7,-70.17,0.0,top
R41,61.85,-70.18,0.0,top
R42,7.97,-30.96,0.0,top
R43,41.59,-46.41,270.0,top
R44,6.13,-76.52,270.0,top
R45,64.1,-18.0,180.0,top
R46,64.1,-20.5,180.0,top
R47,64.05,-22.8,180.0,top
R48,70.75,-65.79,90.0,top
R49,71.325,-58.025,90.0,top
R5,33.72,-72.7,0.0,top
R50,70.33,-61.8,90.0,top
R51,68.74,-65.79,90.0,top
R52,59.29,-30.32,0.0,top
R53,64.33,-30.32,0.0,top
R54,59.32,-32.65,0.0,top
R55,64.45,-32.69,0.0,top
R56,59.35,-35.01,0.0,top
R57,64.43,-34.99,0.0,top
R58,2.56,-39.64,270.0,top
R59,53.68,-71.69,0.0,top
R6,40.9,-75.61,270.0,top
R7,53.74,-55.77,180.0,top
R8,6.17,-72.61,270.0,top
R9,49.96,-71.69,0.0,top
U1,60.92,-59.015,0.0,top
U2,38.02,-17.96,0.0,top
U3,22.98,-22.63,0.0,top
U4,69.8075,-17.96,270.0,top
U6,40.69,-33.64,0.0,top
U7,82.855,-46.02,180.0,top
U8,99.92,-41.24,90.0,top
Y1,29.67,-76.33,180.0,top
Y2,10.16,-19.79,0.0,top
