Designator,Footprint,Quantity,Value,LCSC Part #
"3V3, 3V3_uC1, CLK1, CS1, GND1, GND2, INT1, MISO1, MOSI1, RES1, RF1, SWCLK1, SWDIO1, SWGND1, SWO1, UART_GND1, UART_RX1, UART_TX1, uC_NRST1",TestPoint_Special_THTPad_D1.9mm_Drill1mm,19,~,
"C1, C4, C5, C8",0805,4,1.5nF,C1717
"C10, C2, C3, C6, C7",0805,5,220pF,C107145
"C11, C12, C13, C16, C18, C20, C21, C23, C25, C28, C31, C34, C35, C37, C38, C40, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C55, C56, C57, C58, C59, C60, C61, C64, C73, C74, C77, C78, C79, C80, C9",0805,43,100nF,C49678
C14,0805,1,1uF,C28323
C15,0805,1,22nF,C1729
"C17, C29",0603,2,6.8pF,C1679
"C17a1, C29a1",1206,2,6.8pF,
"C19, C22, C24, C26, C30, C36, C65",0805,7,10uF 25V,C15850
"C27, C62, C63",0805,3,22pF,C1804
"C66, C67",1210,2,22uF,C12891
C68,0805,1,47pF,C14857
C69,CP_Elec_10x10,1,470uF,C4747956
"C71, C76",0805,2,1nF,C46653
C75,CP_Elec_8x10,1,100uF,C59937
"D1, D2",SOT-23,2,BAV99,C2500
D10,0805,1,ALIVE,C2296
D11,0805,1,STATEC,C2296
D12,0805,1,CONTACTOR1,C2296
D13,D_SMB_Handsoldering,1,SS54B-HF,C3014033
"D14, D16, D3, D4, D6, D7",D_SOD-123,6,B5819W,C8598
D15,0805,1,UARTTX,C2296
D5,D_SMA,1,3V9,C438352
D8,QFN-68-1EP_8x8mm_P0.4mm_EP5.2x5.2mm_ThermalVias,1,QCA 7000,
D9,0805,1,PWR,C2296
H1,MountingHole_3.2mm_M3,1,MountingHole,
IC1,SOP65P640X120-17N,1,DRV8874QPWPRQ1,C1855818
J20,TE_DTM1312PA12PBR008,1,DTM1312PA12PBR008,
JP1,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,EN_LOW,
JP2,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,EN_HIGH,
"L1, L8",0805,2,270nH,C281081
"L10, L12, L2, L9",0805,4,Bead 600,C1017
L11,1812,1,4.7uH,C162588
L13,L_Wuerth_WE-PD-Typ-LS_Handsoldering,1,10uH,
"L3, L4, L5, L6, L7",0603,5,1.8uH,C78153
"PB12, PB13, PB5, PB6, RX_N1, RX_P1, TP10, TP11, TP12, TP13, TP14, TP23, TP24, TP26, TP27, TP28, TP29, TP30, TP31, TP38, TP8, TP9, TX_N1, TX_P1",TestPoint_THTPad_D1.0mm_Drill0.5mm,24,~,
"Q1, Q7, Q8, Q9",SOT-23,4,DTC114E,C358500
"Q2, Q3",SOT-223,2,NCV8402xST,C236053
"Q4, Q5, Q6",SOT-23,3,DTA143Z,C2910150
"R1, R2",0805,2,22,C17561
"R10, R29, R30, R31, R33, R35, R49, R52, R54, R7",0805,10,10k,C17414
"R11, R12, R13, R14, R21, R22, R45, R46, R47",0805,9,220,C17557
"R15, R5",0805,2,33,C17634
"R16, R17, R18, R19, R20, R37, R48, R56",0805,8,1k,C17513
"R23, R58",0805,2,100k,C149504
R24,0805,1,33k,C17633
R25,0805,1,180,C25270
"R26, R51",0805,2,2k7,C17530
R27,0805,1,1k2,C17379
"R3, R4",0805,2,3.3K,C26010
"R32, R34, R36, R41, R53, R55, R57",0805,7,47k,C17713
"R38, R42",0805,2,22k,C17560
"R39, R40",0805,2,240,C17572
R43,1206,1,0,C17888
"R44, R8",0805,2,100,C17408
R50,0805,1,560,C28636
R59,0805,1,330,C17630
R6,0805,1,6k2,C17767
R9,0805,1,2.2k,C17520
TP1,TestPoint_Pad_D1.0mm,1,1V2,
"TP15, TP25, TP32, TP33, TP34, TP35, TP36, TP37, TP41, TP42, TP43, TP44, TP45, TP46, TP47, TP48, TP49, TP50, TP51, TP52, TP53, TP54, TP55, TP56, TP57, TP58, TP59, TP6, TP60",TestPoint_Special_THTPad_D1.9mm_Drill1mm,29,TestPoint,
TP2,TestPoint_Special_THTPad_D1.9mm_Drill1mm,1,FL_MOSI,
TP3,TestPoint_Special_THTPad_D1.9mm_Drill1mm,1,FL_CLK,
TP39,TestPoint_Special_THTPad_D1.9mm_Drill1mm,1,FL_GND,
TP3V3uC1,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TP3V3uC,
TP4,TestPoint_Special_THTPad_D1.9mm_Drill1mm,1,FL_CS,
TP40,TestPoint_Special_THTPad_D1.9mm_Drill1mm,1,FL_RES,
TP5,TestPoint_Special_THTPad_D1.9mm_Drill1mm,1,FL_MISO,
TP5V1,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TP5V,
U1,SOP-8_5.28x5.23mm_P1.27mm,1,25Q16,C115407
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,C12084
U3,LQFP-64_10x10mm_P0.5mm,1,STM32F103RETx,C8322
U4,SOT-23-6,1,TPS54302,C311983
U6,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U7,SO-14_3.9x8.65mm_P1.27mm,1,74HCT04,C672096
U8,TE_EEC-325X4B,1,EEC-325X4B,
Y1,Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm,1,25MHz,C9006
Y2,Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm,1,8MHz,none
Y3,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8MHz,C115962
